Компания;Департамент;Подразделение;Отдел;Должность;Тип тругового договора;Ставка (FTE);Город
ООО ТФН;Дивизион АВТО;Объединение Юг;ОП в г. Ростове-на-Дону;Менеджер по работе с клиентами;Трудовой договор;1;Ростов-на-Дону
ООО ТФН;Дивизион АВТО;Объединение Юг;ОП в г. Ростове-на-Дону;Инженер-консультант;Трудовой договор;1;Ростов-на-Дону
ООО ТФН;Дивизион АВТО;Объединение Юг;ОП в г. Ростове-на-Дону;Региональный директор;Трудовой договор;1;Ростов-на-Дону
ООО ТФН;Дивизион АВТО;Объединение Юг;Отдел региональных продаж в г. Ростове-на-Дону;Руководитель отдела;Трудовой договор;1;Ростов-на-Дону
ООО ТФН;Дивизион АВТО;Объединение Запад;;Руководитель объединения;Трудовой договор;1;Санкт-Петербург
ООО ТФН;Дивизион АВТО;Объединение Запад;ОП в г. Вологда;Менеджер по продажам;Трудовой договор;1;Санкт-Петербург
ООО ТФН;Дивизион АВТО;Объединение Запад;ОП в г. Петрозаводске;Менеджер по продажам;Трудовой договор;1;Петрозаводск
ООО ТФН;Дивизион АВТО;Объединение Запад;ОП в г. Калининграде;Региональный директор;Трудовой договор;1;Калининград
ООО ТФН;Дивизион АВТО;Объединение Запад;ОП в г. Мурманске;Технический специалист;Трудовой договор;1;Мурманск
ООО ТФН;Дивизион АВТО;Объединение Запад;ОП в г. Ярославле;Менеджер по продажам;Трудовой договор;1;Ярославль
ООО ТФН;Дивизион АВТО;Объединение Запад;ОП в г. Ярославле;Инженер-консультант;Трудовой договор;1;Ярославль
ООО ТФН;Дивизион АВТО;Объединение Запад;ОП в г. Ярославле;Старший менеджер по работе с клиентами;Трудовой договор;1;Ярославль
ООО ТФН;Дивизион АВТО;Объединение Запад;ОП в г. Ярославле;Региональный директор;Трудовой договор;1;Ярославль
ООО ТФН;Дивизион АВТО;Объединение Запад;ОП в г. Ярославле;Технический специалист;Трудовой договор;1;Ярославль
ООО ТФН;Дивизион АВТО;Объединение Запад;ОП в г. Санкт-Петербурге;Руководитель отдела логистики;Трудовой договор;1;Санкт-Петербург
ООО ТФН;Дивизион АВТО;Объединение Запад;ОП в г. Санкт-Петербурге;Менеджер по продажам;Трудовой договор;1;Санкт-Петербург
ООО ТФН;Дивизион АВТО;Объединение Запад;ОП в г. Санкт-Петербурге;Старший менеджер по работе с клиентами;Трудовой договор;1;Санкт-Петербург
ООО ТФН;Дивизион АВТО;Объединение Запад;ОП в г. Санкт-Петербурге;Старший менеджер по работе с клиентами;Трудовой договор;1;Санкт-Петербург
ООО ТФН;Дивизион АВТО;Объединение Запад;ОП в г. Санкт-Петербурге;Руководитель отдела продаж;Трудовой договор;1;Санкт-Петербург
ООО ТФН;Дивизион АВТО;Объединение Запад;ОП в г. Санкт-Петербурге;Старший инженер-консультант;Трудовой договор;1;Санкт-Петербург
ООО ТФН;Дивизион АВТО;Объединение Запад;ОП в г. Иваново;Менеджер по продажам;Трудовой договор;1;Иваново
